Rnaking by S-F,Insitution Name ,S-F ratio,Grad rate ,retention rate,Accept rate,Enrollement rate ,Aid Rateq,Defualt Rate 
297,Stevenson University,14 to 1,0.53,0.8,0.6,0.13,0.81,N/A
298,Babson College,14 to 1,0.89,0.96,0.26,0.07,0.48,N/A
299,Boston College,14 to 1,0.92,0.95,0.29,0.07,0.45,0.02
300,Endicott College,14 to 1,0.71,0.86,0.73,0.2,0.77,N/A
301,Northeastern University,14 to 1,0.84,0.97,0.28,0.06,0.65,N/A
302,Kettering University,14 to 1,0.54,0.93,0.7,0.18,0.93,N/A
303,Northwood University-Michigan,14 to 1,0.57,0.78,0.69,0.16,0.83,N/A
304,University of St Thomas,14 to 1,0.76,0.89,0.84,0.26,0.91,N/A
305,Evangel University,14 to 1,0.54,0.71,0.61,0.24,0.95,0.07
306,Concordia University-Nebraska,14 to 1,0.59,0.76,0.78,0.25,0.73,0.04
307,University of Nebraska at Kearney,14 to 1,0.56,0.8,0.85,0.37,0.71,N/A
308,Monmouth University,14 to 1,0.67,0.83,0.74,0.14,0.96,0.06
309,Clarkson University,14 to 1,0.72,0.88,0.68,0.11,0.96,0.03
310,CUNY Queens College,14 to 1,0.58,0.85,0.4,0.08,0.53,0.05
311,Fordham University,14 to 1,0.81,0.91,0.48,0.05,0.8,0.05
312,University of North Carolina at Chapel Hill,14 to 1,0.9,0.97,0.31,0.13,0.53,N/A
313,Ashland University,14 to 1,0.58,0.75,0.77,0.19,0.59,0.05
314,Muskingum University,14 to 1,0.52,0.74,0.74,0.18,0.83,0.06
315,Franciscan University of Steubenville,14 to 1,0.79,0.86,0.79,0.26,0.89,N/A
316,George Fox University,14 to 1,0.7,0.81,0.77,0.21,0.9,0.03
317,Lancaster Bible College,14 to 1,0.73,0.79,0.68,0.42,0.9,N/A
318,Saint Francis University,14 to 1,0.72,0.87,0.74,0.22,0.84,N/A
319,Temple University,14 to 1,0.71,0.9,0.56,0.17,0.72,N/A
320,Roger Williams University,14 to 1,0.64,0.81,0.78,0.11,0.84,N/A
321,Columbia International University,14 to 1,0.62,0.73,0.34,0.17,0.91,N/A
322,North Greenville University,14 to 1,0.55,0.73,0.58,0.34,0.91,0.06
323,Belmont University,14 to 1,0.69,0.83,0.8,0.23,0.65,0.03
324,Bryan College-Dayton,14 to 1,0.57,0.65,0.46,0.24,0.6,0.07
325,Johnson University,14 to 1,0.57,0.74,0.58,0.42,0.89,N/A
326,University of Memphis,14 to 1,0.45,0.77,0.4,0.13,0.76,N/A
327,Baptist Health System School of Health Professions,14 to 1,0.9,N/A,N/A,N/A,0.83,0.04
328,Southwestern Assemblies of God University,14 to 1,0.41,0.74,0.28,0.2,0.87,N/A
329,Champlain College,14 to 1,0.58,0.79,0.66,0.1,0.73,N/A
330,University of Mary Washington,14 to 1,0.7,0.82,0.83,0.18,0.41,0.02
331,Virginia Polytechnic Institute and State University,14 to 1,0.83,0.94,0.73,0.28,0.52,N/A
332,University of Charleston,14 to 1,0.47,0.66,0.52,0.16,0.89,0.12
333,University of Wyoming,14 to 1,0.55,0.77,0.96,0.36,0.71,N/A
334,John Brown University,15 to 1,0.62,0.81,0.74,0.31,0.74,N/A
335,Biola University,15 to 1,0.7,0.85,0.7,0.21,0.91,0.03
336,California Lutheran University,15 to 1,0.66,0.84,0.62,0.09,0.87,0.03
337,Concordia University-Irvine,15 to 1,0.61,0.72,0.59,0.11,0.81,N/A
338,Point Loma Nazarene University,15 to 1,0.75,0.84,0.71,0.21,0.82,N/A
339,Vanguard University of Southern California,15 to 1,0.56,0.78,0.68,0.25,0.81,N/A
340,Colorado Christian University,15 to 1,0.47,0.79,N/A,N/A,0.54,0.06
341,Sacred Heart University,15 to 1,0.64,0.83,0.59,0.14,0.85,N/A
342,Saint Leo University,15 to 1,0.45,0.71,0.73,0.17,0.65,0.1
343,Northwest Nazarene University,15 to 1,0.49,0.77,0.56,0.17,0.8,N/A
344,Concordia University-Chicago,15 to 1,0.5,0.62,0.5,0.07,0.89,0.04
345,Eastern Illinois University,15 to 1,0.58,0.75,0.5,0.13,0.73,0.06
346,Indiana Wesleyan University-Marion,15 to 1,0.6,0.82,0.95,0.45,0.57,N/A
347,Dordt College,15 to 1,0.69,0.81,0.7,0.27,1,0.02
348,University of Iowa,15 to 1,0.72,0.85,0.81,0.2,0.58,N/A
349,Midway University,15 to 1,0.56,0.78,0.46,0.18,0.86,N/A
350,Framingham State University,15 to 1,0.56,0.74,0.71,0.18,0.57,0.07
351,Wentworth Institute of Technology,15 to 1,0.67,0.84,0.67,0.14,0.86,N/A
352,University of Michigan-Dearborn,15 to 1,0.53,0.8,0.62,0.18,0.63,N/A
353,The College of Saint Scholastica,15 to 1,0.7,0.84,0.61,0.12,0.82,N/A
354,Rutgers University-New Brunswick,15 to 1,0.8,0.93,0.58,0.19,0.51,N/A
355,CUNY Brooklyn College,15 to 1,0.54,0.82,0.37,0.07,0.6,0.07
356,State University of New York at New Paltz,15 to 1,0.73,0.89,0.42,0.07,0.53,N/A
357,SUNY at Purchase College,15 to 1,0.58,0.81,0.41,0.1,0.59,0.07
358,North Carolina State University at Raleigh,15 to 1,0.75,0.93,0.5,0.2,0.54,N/A
359,Miami University-Oxford,15 to 1,0.8,0.9,0.65,0.14,0.63,0.11
360,Corban University,15 to 1,0.59,0.8,0.31,0.09,0.94,N/A
361,Geneva College,15 to 1,0.64,0.83,0.73,0.2,0.75,0.06
362,University of Pittsburgh-Pittsburgh Campus,15 to 1,0.82,0.92,0.54,0.13,0.53,N/A
363,Robert Morris University,15 to 1,0.58,0.85,0.78,0.13,0.8,N/A
364,Wilkes University,15 to 1,0.59,0.77,0.82,0.18,0.84,N/A
365,John A Gupton College,15 to 1,0.5,0.83,0.77,0.59,0.63,0.13
366,Abilene Christian University,15 to 1,0.61,0.79,0.5,0.1,0.94,0.09
367,University of Vermont,15 to 1,0.77,0.86,0.71,0.09,0.77,N/A
368,University of Virginia-Main Campus,15 to 1,0.93,0.97,0.3,0.12,0.4,N/A
369,Seattle Pacific University,15 to 1,0.71,0.87,0.82,0.13,0.93,0.03
370,Washington State University,15 to 1,0.64,0.78,0.8,0.24,0.61,N/A
371,Marquette University,15 to 1,0.8,0.9,0.74,0.09,0.96,0.03
372,Bristol University,15 to 1,0.89,0.6,0.46,0.26,0.35,0.12
373,Faith Evangelical College & Seminary,15 to 1,0.8,0.67,N/A,N/A,0.76,0.07
374,Sessions College for Professional Design,15 to 1,0.6,0.9,N/A,N/A,0.53,N/A
375,Harding University,16 to 1,0.64,0.85,0.99,0.66,0.87,0.05
376,University of California-Los Angeles,16 to 1,0.91,0.96,0.17,0.06,0.61,N/A
377,Colorado School of Mines,16 to 1,0.77,0.94,0.38,0.09,0.68,0.03
378,University of Delaware,16 to 1,0.79,0.92,0.67,0.18,0.62,N/A
379,Nova Southeastern University,16 to 1,0.44,0.8,0.59,0.15,0.83,N/A
380,University of Idaho,16 to 1,0.57,0.8,0.72,0.26,0.67,N/A
381,DePaul University,16 to 1,0.73,0.84,0.72,0.13,0.8,0.06
382,Graceland University-Lamoni,16 to 1,0.52,0.62,0.48,0.13,0.82,0.09
383,Fort Hays State University,16 to 1,0.43,0.7,0.86,0.41,0.44,0.07
384,Frostburg State University,16 to 1,0.51,0.76,0.63,0.24,0.56,0.1
385,Salisbury University,16 to 1,0.67,0.82,0.61,0.14,0.56,0.05
386,MCPHS University,16 to 1,0.72,0.84,0.87,0.16,0.87,N/A
387,Massachusetts Maritime Academy,16 to 1,0.72,0.93,0.74,0.47,0.52,0.05
388,Concordia University-Saint Paul,16 to 1,0.46,0.7,0.55,0.15,0.66,0.06
389,Truman State University,16 to 1,0.73,0.89,0.79,0.32,0.8,N/A
390,Daniel Webster College,16 to 1,0.49,0.68,0.62,0.18,0.7,0.08
391,Marist College,16 to 1,0.78,0.91,0.45,0.13,0.75,N/A
392,SUNY College of Technology at Delhi,16 to 1,0.43,0.75,0.54,0.16,0.65,0.13
393,SUNY College of Environmental Science and Forestry,16 to 1,0.75,0.85,0.52,0.2,0.76,N/A
394,SUNY College at Brockport,16 to 1,0.69,0.82,0.53,0.12,0.61,N/A
395,SUNY College at Cortland,16 to 1,0.73,0.78,0.51,0.11,0.61,N/A
396,SUNY College at Plattsburgh,16 to 1,0.65,0.83,0.5,0.12,0.72,N/A
397,Syracuse University,16 to 1,0.81,0.91,0.48,0.1,0.7,N/A
398,Appalachian State University,16 to 1,0.71,0.86,0.66,0.23,0.45,0.04
399,Western Carolina University,16 to 1,0.57,0.8,0.4,0.09,0.65,N/A
400,University of Dayton,16 to 1,0.79,0.91,0.58,0.13,0.86,N/A
401,The University of Findlay,16 to 1,0.56,0.78,0.76,0.23,0.92,N/A
402,Oral Roberts University,16 to 1,0.58,0.8,0.64,0.18,0.87,0.1
403,University of Western States,16 to 1,0.88,N/A,N/A,N/A,0.56,N/A
404,Pennsylvania State University-Main Campus,16 to 1,0.86,0.93,0.51,0.14,0.68,N/A
405,Anderson University,16 to 1,0.49,0.73,0.55,0.2,0.87,0.09
406,Cumberland University,16 to 1,0.45,0.7,0.49,0.29,0.87,0.11
407,King University,16 to 1,0.45,0.73,0.44,0.17,0.71,0.08
408,University of Utah,16 to 1,0.64,0.89,0.81,0.28,0.51,N/A
409,George Mason University,16 to 1,0.69,0.87,0.69,0.14,0.41,0.02
410,James Madison University,16 to 1,0.83,0.91,0.73,0.21,0.34,0.03
411,Longwood University,16 to 1,0.66,0.8,0.79,0.22,0.48,0.05
412,Milwaukee School of Engineering,16 to 1,0.64,0.87,0.65,0.22,0.89,0.05
413,Unitek College,16 to 1,N/A,1,N/A,N/A,0.2,N/A
414,University of California-Berkeley,17 to 1,0.92,0.96,0.17,0.07,0.61,N/A
415,University of California-Santa Barbara,17 to 1,0.81,0.93,0.33,0.06,0.66,N/A
416,University of La Verne,17 to 1,0.64,0.85,0.47,0.09,0.73,N/A
417,University of Connecticut,17 to 1,0.83,0.92,0.53,0.11,0.62,N/A
418,North Florida Community College,17 to 1,0.52,0.7,N/A,N/A,0.6,N/A
419,Warner University,17 to 1,0.4,0.72,0.51,0.36,0.99,N/A
420,Georgia College and State University,17 to 1,0.6,0.86,0.76,0.37,0.79,0.05
421,Moody Bible Institute,17 to 1,0.69,0.86,0.68,0.48,0.8,N/A
422,Indiana University-Bloomington,17 to 1,0.77,0.89,0.78,0.23,0.59,0.05
423,University of Northern Iowa,17 to 1,0.68,0.8,0.8,0.36,0.55,N/A
424,University of Kentucky,17 to 1,0.63,0.83,0.89,0.28,0.78,0.06
425,University of Maryland-College Park,17 to 1,0.86,0.95,0.45,0.14,0.52,N/A
426,Towson University,17 to 1,0.7,0.86,0.73,0.25,0.47,N/A
427,University of Massachusetts-Lowell,17 to 1,0.56,0.86,0.57,0.15,0.55,N/A
428,Westfield State University,17 to 1,0.63,0.79,0.8,0.25,0.56,N/A
429,Grand Valley State University,17 to 1,0.67,0.84,0.81,0.24,0.65,0.04
430,Michigan State University,17 to 1,0.77,0.92,0.66,0.23,0.51,N/A
431,University of Minnesota-Twin Cities,17 to 1,0.77,0.93,0.45,0.13,0.5,N/A
432,Park University,17 to 1,0.43,0.59,0.4,0.11,0.37,0.1
433,Plymouth State University,17 to 1,0.58,0.76,0.74,0.2,0.61,0.05
434,Montclair State University,17 to 1,0.66,0.83,0.7,0.26,0.51,0.05
435,Ramapo College of New Jersey,17 to 1,0.74,0.86,0.53,0.13,0.43,N/A
436,Stockton University,17 to 1,0.73,0.87,0.64,0.21,0.56,N/A
437,CUNY Bernard M Baruch College,17 to 1,0.7,0.91,0.32,0.07,0.56,0.05
438,Fashion Institute of Technology,17 to 1,0.75,0.9,0.41,0.27,0.41,0.07
439,Stony Brook University,17 to 1,0.68,0.9,0.41,0.08,0.57,N/A
440,SUNY Polytechnic Institute,17 to 1,0.49,0.74,0.6,0.15,0.69,N/A
441,SUNY College at Oswego,17 to 1,0.66,0.8,0.51,0.14,0.76,N/A
442,SUNY Maritime College,17 to 1,0.56,0.87,0.68,0.25,0.54,0.08
443,University of North Carolina at Greensboro,17 to 1,0.56,0.77,0.59,0.26,0.55,N/A
444,University of North Carolina Wilmington,17 to 1,0.71,0.85,0.61,0.18,0.53,N/A
445,Concordia University-Portland,17 to 1,0.48,0.74,0.51,0.08,1,N/A
446,South Dakota State University,17 to 1,0.54,0.76,0.92,0.44,0.58,0.05
447,University of South Dakota,17 to 1,0.52,0.77,0.74,0.31,0.54,N/A
448,The University of Tennessee-Knoxville,17 to 1,0.7,0.85,0.76,0.28,0.75,0.07
449,Trevecca Nazarene University,17 to 1,0.51,0.77,0.73,0.31,0.77,0.06
450,Virginia Commonwealth University,17 to 1,0.62,0.86,0.79,0.27,0.55,N/A
451,Mountain State College,17 to 1,0.92,0.83,N/A,N/A,0.06,0.18
452,Apex School of Theology,17 to 1,0.95,0.97,N/A,N/A,0.99,0.11
453,University of Alabama at Birmingham,18 to 1,0.55,0.79,0.6,0.21,0.58,N/A
454,Northern Arizona University,18 to 1,0.52,0.74,0.77,0.17,0.64,0.09
455,California Baptist University,18 to 1,0.6,0.76,0.65,0.26,0.85,0.08
456,University of California-Davis,18 to 1,0.85,0.93,0.38,0.08,0.72,N/A
457,University of California-Santa Cruz,18 to 1,0.78,0.88,0.5,0.08,0.74,N/A
458,University of Colorado Boulder,18 to 1,0.71,0.86,0.8,0.2,0.43,0.04
459,Colorado State University-Fort Collins,18 to 1,0.67,0.87,0.81,0.26,0.5,0.04
460,University of North Florida,18 to 1,0.55,0.8,0.57,0.14,0.61,0.08
461,University of Georgia,18 to 1,0.85,0.95,0.53,0.24,0.82,N/A
462,University of Illinois at Chicago,18 to 1,0.6,0.81,0.77,0.22,0.65,N/A
463,Illinois State University,18 to 1,0.73,0.82,0.88,0.3,0.5,0.04
464,University of Massachusetts-Amherst,18 to 1,0.78,0.91,0.58,0.12,0.69,N/A
465,University of Northwestern-St Paul,18 to 1,0.66,0.82,0.87,0.33,0.59,N/A
466,Saint Mary's University of Minnesota,18 to 1,0.61,0.8,0.78,0.19,0.69,N/A
467,Crown College,18 to 1,0.56,0.68,0.53,0.15,0.8,0.06
468,University of Mississippi,18 to 1,0.61,0.87,0.79,0.22,0.68,0.08
469,Rivier University,18 to 1,0.43,0.77,0.57,0.11,0.6,N/A
470,Rowan University,18 to 1,0.67,0.86,0.71,0.18,0.43,N/A
471,Monroe College,18 to 1,0.53,0.78,0.45,0.28,0.92,0.1
472,SUNY College of Technology at Alfred,18 to 1,0.5,0.88,0.57,0.22,0.8,N/A
473,SUNY at Albany,18 to 1,0.68,0.82,0.56,0.12,0.6,N/A
474,East Carolina University,18 to 1,0.62,0.8,0.69,0.25,0.5,N/A
475,North Dakota State University-Main Campus,18 to 1,0.54,0.78,0.94,0.48,0.56,0.03
476,University of Cincinnati-Main Campus,18 to 1,0.62,0.88,0.86,0.29,0.58,N/A
477,Ohio University-Main Campus,18 to 1,0.67,0.79,0.74,0.21,0.53,N/A
478,University of Oklahoma-Norman Campus,18 to 1,0.66,0.86,0.78,0.35,0.62,N/A
479,Oregon State University,18 to 1,0.64,0.85,0.78,0.26,0.54,N/A
480,Clarion University of Pennsylvania,18 to 1,0.49,0.73,0.96,0.43,0.62,0.08
481,Southern Wesleyan University,18 to 1,0.5,0.69,0.62,0.22,0.8,0.12
482,Clemson University,18 to 1,0.81,0.93,0.51,0.15,0.71,N/A
483,Dakota State University,18 to 1,0.38,0.74,0.81,0.38,0.39,0.09
484,The University of Texas at Austin,18 to 1,0.8,0.95,0.39,0.18,0.45,N/A
485,Texas Woman's University,18 to 1,0.41,0.76,0.86,0.24,0.67,0.08
486,Liberty University,18 to 1,0.47,0.75,0.22,0.1,0.84,N/A
487,Western Washington University,18 to 1,0.71,0.82,0.82,0.28,0.48,N/A
488,University of Wisconsin-La Crosse,18 to 1,0.68,0.85,0.8,0.34,0.43,N/A
489,University of Wisconsin-Madison,18 to 1,0.85,0.96,0.58,0.22,0.42,N/A
490,University of California-Merced,18 to 1,0.66,0.84,0.61,0.09,0.88,N/A
491,Auburn University,19 to 1,0.73,0.9,0.78,0.25,0.53,0.06
492,University of Arkansas,19 to 1,0.62,0.82,0.6,0.24,0.58,N/A
493,University of California-Irvine,19 to 1,0.88,0.93,0.39,0.08,0.73,N/A
494,University of California-Riverside,19 to 1,0.73,0.91,0.56,0.11,0.84,N/A
495,Georgia Institute of Technology-Main Campus,19 to 1,0.85,0.97,0.32,0.11,0.63,N/A
496,University of Illinois at Urbana-Champaign,19 to 1,0.85,0.93,0.66,0.22,0.51,N/A
497,Iowa State University,19 to 1,0.71,0.87,0.87,0.33,0.67,0.05
498,Kansas State University,19 to 1,0.62,0.83,0.95,0.39,0.57,0.06
499,University of Maryland-Baltimore County,19 to 1,0.63,0.86,0.59,0.15,0.51,N/A
500,Mississippi State University,19 to 1,0.6,0.82,0.65,0.28,0.78,0.08
501,Missouri University of Science and Technology,19 to 1,0.65,0.87,0.88,0.41,0.77,0.05
502,University of New Hampshire-Main Campus,19 to 1,0.79,0.85,0.79,0.17,0.58,N/A
503,University of North Carolina at Charlotte,19 to 1,0.53,0.83,0.63,0.21,0.52,N/A
504,Ohio State University-Main Campus,19 to 1,0.83,0.94,0.49,0.17,0.65,N/A
505,Oregon Institute of Technology,19 to 1,0.46,0.78,0.57,0.23,0.47,N/A
506,University of Oregon,19 to 1,0.71,0.88,0.74,0.19,0.6,N/A
507,West Chester University of Pennsylvania,19 to 1,0.71,0.88,0.59,0.19,0.43,N/A
508,University of South Carolina-Columbia,19 to 1,0.72,0.87,0.65,0.2,0.71,N/A
509,Old Dominion University,19 to 1,0.53,0.82,0.83,0.31,0.55,N/A
510,Fashion Institute of Design & Merchandising-Los Angeles,20 to 1,0.7,0.92,0.49,0.33,0.39,0.1
511,University of Florida,20 to 1,0.87,0.96,0.48,0.24,0.88,N/A
512,Southeastern University,20 to 1,0.39,0.67,0.46,0.26,0.77,0.09
513,Savannah College of Art and Design,20 to 1,0.67,0.85,0.7,0.21,0.88,0.09
514,University of West Georgia,20 to 1,0.39,0.72,0.57,0.31,0.73,0.09
515,Central Michigan University,20 to 1,0.59,0.79,0.69,0.19,0.74,0.06
516,Winona State University,20 to 1,0.58,0.81,0.62,0.24,0.54,N/A
517,University of Missouri-Columbia,20 to 1,0.69,0.87,0.78,0.28,0.6,N/A
518,SUNY at Binghamton,20 to 1,0.81,0.91,0.42,0.09,0.51,N/A
519,SUNY College at Geneseo,20 to 1,0.82,0.89,0.73,0.15,0.55,N/A
520,Oklahoma State University-Main Campus,20 to 1,0.61,0.81,0.75,0.33,0.76,0.07
521,Texas A & M University-Commerce,20 to 1,0.42,0.73,0.47,0.15,0.73,N/A
522,Texas A & M University-College Station,20 to 1,0.79,0.9,0.67,0.31,0.57,N/A
523,Brigham Young University-Provo,20 to 1,0.8,0.86,0.48,0.38,0.71,0.01
524,Central Washington University,20 to 1,0.52,0.79,0.82,0.34,0.56,0.07
525,University of Washington-Seattle Campus,20 to 1,0.84,0.94,0.53,0.18,0.43,N/A
526,West Virginia University,20 to 1,0.57,0.79,0.86,0.31,0.64,0.09
527,University of Wisconsin-Stout,20 to 1,0.57,0.76,0.93,0.49,0.44,N/A
528,American Sentinel University,20 to 1,N/A,1,N/A,N/A,0.22,N/A
529,Georgia Southern University,21 to 1,0.5,0.82,0.6,0.35,0.67,0.09
530,University of Nebraska-Lincoln,21 to 1,0.67,0.83,0.76,0.48,0.52,N/A
531,University of North Dakota,21 to 1,0.54,0.81,0.82,0.39,0.51,N/A
532,Kent State University at Kent,21 to 1,0.56,0.81,0.85,0.27,0.68,0.12
533,California University of Pennsylvania,21 to 1,0.5,0.77,0.85,0.26,0.62,0.08
534,Sam Houston State University,21 to 1,0.49,0.8,0.73,0.29,0.69,0.11
535,University of Wisconsin-Eau Claire,21 to 1,0.65,0.8,0.85,0.39,0.46,N/A
536,University of Arizona,22 to 1,0.61,0.8,0.76,0.23,0.69,0.07
537,California Polytechnic State University-San Luis Obispo,22 to 1,0.76,0.93,0.31,0.11,0.55,0.03
538,The University of West Florida,22 to 1,0.47,0.72,0.42,0.19,0.63,N/A
539,Slippery Rock University of Pennsylvania,22 to 1,0.68,0.83,0.68,0.26,0.58,N/A
540,Texas Tech University,22 to 1,0.6,0.83,0.63,0.22,0.52,N/A
541,Utah State University,22 to 1,0.49,0.71,0.97,0.29,0.56,0.06
542,University of Wisconsin-Whitewater,22 to 1,0.6,0.81,0.8,0.36,0.43,N/A
543,University of Wisconsin-Platteville,22 to 1,0.54,0.75,0.94,0.46,0.47,N/A
544,Chamberlain College of Nursing-Illinois,22 to 1,0.89,0.93,0.68,0.64,0.57,N/A
545,Luther Rice University & Seminary,23 to 1,1,1,1,1,0.65,N/A
546,Grace College and Theological Seminary,23 to 1,0.6,0.8,0.77,0.09,0.71,0.04
547,Louisiana State University and Agricultural & Mechanical College,23 to 1,0.67,0.85,0.77,0.32,0.72,0.05
548,Louisiana Tech University,23 to 1,0.52,0.8,0.64,0.31,0.72,0.08
549,Minnesota State University-Mankato,23 to 1,0.49,0.74,0.67,0.24,0.48,0.06
550,The University of Texas at Dallas,23 to 1,0.66,0.84,0.61,0.24,0.65,0.07
551,University of Wisconsin-Green Bay,23 to 1,0.46,0.75,0.85,0.37,0.47,N/A
552,The University of Alabama,24 to 1,0.67,0.86,0.54,0.2,0.57,N/A
553,California State University-Long Beach,24 to 1,0.67,0.89,0.34,0.08,0.72,0.05
554,University of South Florida-Main Campus,24 to 1,0.68,0.88,0.45,0.14,0.72,N/A
555,Alexandria Technical & Community College,24 to 1,0.64,0.71,N/A,N/A,0.53,0.12
556,California State University-San Marcos,24 to 1,0.51,0.81,0.54,0.16,0.69,0.05
557,California State University-Chico,25 to 1,0.64,0.84,0.63,0.12,0.63,0.07
558,California State University-Fresno,25 to 1,0.58,0.83,0.52,0.18,0.75,0.07
559,California State University-Fullerton,25 to 1,0.62,0.88,0.42,0.11,0.65,0.06
560,Florida International University,25 to 1,0.58,0.88,0.5,0.2,0.69,0.1
561,Florida State University,25 to 1,0.79,0.93,0.56,0.2,0.81,N/A
562,Brigham Young University-Idaho,25 to 1,0.61,0.68,1,0.47,0.6,0.03
563,The University of Texas at Arlington,25 to 1,0.46,0.71,0.66,0.26,0.54,N/A
564,West Virginia Junior College-Morgantown,25 to 1,0.53,0.69,N/A,N/A,0.88,N/A
565,California State Polytechnic University-Pomona,27 to 1,0.63,0.89,0.39,0.08,0.67,0.05
566,San Jose State University,27 to 1,0.57,0.86,0.55,0.11,0.64,0.05
567,San Diego State University,28 to 1,0.68,0.89,0.34,0.09,0.59,N/A
568,Regent University,28 to 1,0.49,0.8,0.84,0.25,0.84,N/A
569,University of Central Florida,30 to 1,0.7,0.89,0.49,0.18,0.69,N/A
570,Southern New Hampshire University,30 to 1,0.58,0.61,0.92,0.21,0.52,0.08
571,University of Florida-Online,35 to 1,N/A,0.88,0.56,0.51,0.55,N/A
